IRI	Label	Definition	Subclass of	Exact synonyms	Broad synonyms	Narrow synonyms	Related synonyms	Deprecated	Replaced by	Consider	Created by	Creation date
ID	LABEL	A obo:IAO_0000115	SC % SPLIT=,	A oboInOwl:hasExactSynonym SPLIT=,	A oboInOwl:hasBroadSynonym SPLIT=,	A oboInOwl:hasNarrowSynonym SPLIT=,	A oboInOwl:hasRelatedSynonym SPLIT=,	AT owl:deprecated^^xsd:boolean	AI obo:IAO_0100001 SPLIT=,	AI oboInOwl:consider SPLIT=,	AT oboInOwl:created_by^^xsd:string	AT oboInOwl:creation_date^^xsd:dateTime
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000002	obsolete abortion							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000003	obsolete acute enteric disease							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000168	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000004	obsolete acute gastroenteritis							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000167	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000006	obsolete african sleeping sickness							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000190		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000014	obsolete anthracnose leaf spot							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000013,http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000211		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000019	Ascochyta blight							false		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000430	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000021	obsolete asymptomatic colonization							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000038	obsolete barley leaf scald							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000210	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000039	obsolete barley powdery mildew							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000296	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000040	obsolete barley smut							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000338	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000041	obsolete barley stem blight							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000485	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000044	obsolete bean brown spot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000065	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000045	obsolete biocontrol: non pathogenic							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000055	obsolete bloodstream infection							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000054		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000056	obsolete bloody diarrhea							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000116	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000059	obsolete blue mold rot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000058,http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000474	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000074	obsolete cassava bacterial blight							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000024	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000080	obsolete chestnut blight							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000430	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000082	obsolete chronic implant-associated infections							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000503	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000083	obsolete citrus black rot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000047	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000084	obsolete citrus brown spot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000065	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000085	obsolete citrus canker							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000435	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000086	obsolete citrus green mold							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000174	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000103	obsolete crucifer anthracnose							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000013	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000106	obsolete cucumber anthracnose							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000013	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000107	obsolete cucumber fusarium wilt							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000164	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000117	obsolete diarrheal diseases							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000116	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000119	obsolete diseases of the skeletal system in children							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000481	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000127	obsolete early blight of potato							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000448	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000128	obsolete early ripening							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000129	obsolete early senescence							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000132	obsolete enteric diseases							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000168		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000139	obsolete epizootic infectious disease							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000142	obsolete extraintestinal infections							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000144	obsolete fatal canine hemorrhagic gastroenteritis							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000501	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000145	obsolete fatal foal necrotizing enterocolitis							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000502	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000146	obsolete fatal septicemia							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000328	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000150	obsolete foliar blight							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000207		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000151	obsolete foliar infection							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000411		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000152	obsolete food poisoning							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000168	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000153	obsolete foodborne outbreaks							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000156	obsolete fruit infection							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000414		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000163	obsolete fusarium head blight							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000162		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000165	obsolete gastric disease					gastric infection		true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000168		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000173	obsolete granuloma							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000175	obsolete green mold decay							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000174	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000176	obsolete green mold rot							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000174	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000181	obsolete gut-associated diseases							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000168	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000183	obsolete healthcare-associated bacterial infection							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000255	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000184	obsolete hemolymph bleeding							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000189	obsolete hospital-acquired infection							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000255		alaynecuzick	2019-02-27T14:11:00Z
